,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2021 Census of Population and Housing,,,,,,,,
General Community Profile DataPack Metadata,,,,,,,,
,,,,,,,,
,,Celldescriptors,,,,,,
G5761,F_Hghst_yr_schl_ns_45_54,FEMALES_Highest_year_of_school_not_stated_Age_45_54_years,G16A,G16,Age: 45-54 years|FEMALES,,,
G5762,F_Hghst_yr_schl_ns_55_64,FEMALES_Highest_year_of_school_not_stated_Age_55_64_years,G16A,G16,Age: 55-64 years|FEMALES,,,
G5763,F_Hghst_yr_schl_ns_65_74,FEMALES_Highest_year_of_school_not_stated_Age_65_74_years,G16A,G16,Age: 65-74 years|FEMALES,,,
G5764,F_Hghst_yr_schl_ns_75_84,FEMALES_Highest_year_of_school_not_stated_Age_75_84_years,G16A,G16,Age: 75-84 years|FEMALES,,,
G5765,F_Hghst_yr_schl_ns_85_ovr,FEMALES_Highest_year_of_school_not_stated_Age_85_years_and_over,G16A,G16,Age: 85 years and over|FEMALES,,,
G5766,F_Hghst_yr_schl_ns_Tot,FEMALES_Highest_year_of_school_not_stated_Total,G16A,G16,Total|FEMALES,,,
G5767,F_Tot_15_19,FEMALES_Total_Age_15_19_years,G16A,G16,Age: 15-19 years|FEMALES,,,
G5768,F_Tot_20_24,FEMALES_Total_Age_20_24_years,G16A,G16,Age: 20-24 years|FEMALES,,,
G5769,F_Tot_25_34,FEMALES_Total_Age_25_34_years,G16A,G16,Age: 25-34 years|FEMALES,,,
G5770,F_Tot_35_44,FEMALES_Total_Age_35_44_years,G16A,G16,Age: 35-44 years|FEMALES,,,
G5771,F_Tot_45_54,FEMALES_Total_Age_45_54_years,G16A,G16,Age: 45-54 years|FEMALES,,,
G5772,F_Tot_55_64,FEMALES_Total_Age_55_64_years,G16A,G16,Age: 55-64 years|FEMALES,,,
G5773,F_Tot_65_74,FEMALES_Total_Age_65_74_years,G16A,G16,Age: 65-74 years|FEMALES,,,
G5774,F_Tot_75_84,FEMALES_Total_Age_75_84_years,G16A,G16,Age: 75-84 years|FEMALES,,,
G5775,F_Tot_85ov,FEMALES_Total_Age_85_years_and_over,G16A,G16,Age: 85 years and over|FEMALES,,,
G5776,F_Tot_Tot,FEMALES_Total_Total,G16A,G16,Total|FEMALES,,,
G5777,P_Y12e_15_19,PERSONS_Year_12_or_equivalent_Age_15_19_years,G16A,G16,Age: 15-19 years|PERSONS,,,
G5778,P_Y12e_20_24,PERSONS_Year_12_or_equivalent_Age_20_24_years,G16A,G16,Age: 20-24 years|PERSONS,,,
G5779,P_Y12e_25_34,PERSONS_Year_12_or_equivalent_Age_25_34_years,G16A,G16,Age: 25-34 years|PERSONS,,,
G5780,P_Y12e_35_44,PERSONS_Year_12_or_equivalent_Age_35_44_years,G16A,G16,Age: 35-44 years|PERSONS,,,
G5781,P_Y12e_45_54,PERSONS_Year_12_or_equivalent_Age_45_54_years,G16A,G16,Age: 45-54 years|PERSONS,,,
G5782,P_Y12e_55_64,PERSONS_Year_12_or_equivalent_Age_55_64_years,G16A,G16,Age: 55-64 years|PERSONS,,,
G5783,P_Y12e_65_74,PERSONS_Year_12_or_equivalent_Age_65_74_years,G16A,G16,Age: 65-74 years|PERSONS,,,
G5784,P_Y12e_75_84,PERSONS_Year_12_or_equivalent_Age_75_84_years,G16A,G16,Age: 75-84 years|PERSONS,,,
G5785,P_Y12e_85ov,PERSONS_Year_12_or_equivalent_Age_85_years_and_over,G16A,G16,Age: 85 years and over|PERSONS,,,
G5786,P_Y12e_Tot,PERSONS_Year_12_or_equivalent_Total,G16A,G16,Total|PERSONS,,,
G5787,P_Y11e_15_19,PERSONS_Year_11_or_equivalent_Age_15_19_years,G16A,G16,Age: 15-19 years|PERSONS,,,
G5788,P_Y11e_20_24,PERSONS_Year_11_or_equivalent_Age_20_24_years,G16A,G16,Age: 20-24 years|PERSONS,,,
G5789,P_Y11e_25_34,PERSONS_Year_11_or_equivalent_Age_25_34_years,G16A,G16,Age: 25-34 years|PERSONS,,,
G5790,P_Y11e_35_44,PERSONS_Year_11_or_equivalent_Age_35_44_years,G16A,G16,Age: 35-44 years|PERSONS,,,
G5791,P_Y11e_45_54,PERSONS_Year_11_or_equivalent_Age_45_54_years,G16A,G16,Age: 45-54 years|PERSONS,,,
G5792,P_Y11e_55_64,PERSONS_Year_11_or_equivalent_Age_55_64_years,G16A,G16,Age: 55-64 years|PERSONS,,,
G5793,P_Y11e_65_74,PERSONS_Year_11_or_equivalent_Age_65_74_years,G16A,G16,Age: 65-74 years|PERSONS,,,
G5794,P_Y11e_75_84,PERSONS_Year_11_or_equivalent_Age_75_84_years,G16A,G16,Age: 75-84 years|PERSONS,,,
G5795,P_Y11e_85ov,PERSONS_Year_11_or_equivalent_Age_85_years_and_over,G16A,G16,Age: 85 years and over|PERSONS,,,
G5796,P_Y11e_Tot,PERSONS_Year_11_or_equivalent_Total,G16A,G16,Total|PERSONS,,,
G5797,P_Y10e_15_19,PERSONS_Year_10_or_equivalent_Age_15_19_years,G16A,G16,Age: 15-19 years|PERSONS,,,
G5798,P_Y10e_20_24,PERSONS_Year_10_or_equivalent_Age_20_24_years,G16A,G16,Age: 20-24 years|PERSONS,,,
G5799,P_Y10e_25_34,PERSONS_Year_10_or_equivalent_Age_25_34_years,G16A,G16,Age: 25-34 years|PERSONS,,,
G5800,P_Y10e_35_44,PERSONS_Year_10_or_equivalent_Age_35_44_years,G16A,G16,Age: 35-44 years|PERSONS,,,
G5801,P_Y10e_45_54,PERSONS_Year_10_or_equivalent_Age_45_54_years,G16A,G16,Age: 45-54 years|PERSONS,,,
G5802,P_Y10e_55_64,PERSONS_Year_10_or_equivalent_Age_55_64_years,G16A,G16,Age: 55-64 years|PERSONS,,,
G5803,P_Y10e_65_74,PERSONS_Year_10_or_equivalent_Age_65_74_years,G16A,G16,Age: 65-74 years|PERSONS,,,
G5804,P_Y10e_75_84,PERSONS_Year_10_or_equivalent_Age_75_84_years,G16A,G16,Age: 75-84 years|PERSONS,,,
G5805,P_Y10e_85ov,PERSONS_Year_10_or_equivalent_Age_85_years_and_over,G16A,G16,Age: 85 years and over|PERSONS,,,
G5806,P_Y10e_Tot,PERSONS_Year_10_or_equivalent_Total,G16A,G16,Total|PERSONS,,,
G5807,P_Y9e_15_19,PERSONS_Year_9_or_equivalent_Age_15_19_years,G16A,G16,Age: 15-19 years|PERSONS,,,
G5808,P_Y9e_20_24,PERSONS_Year_9_or_equivalent_Age_20_24_years,G16A,G16,Age: 20-24 years|PERSONS,,,
G5809,P_Y9e_25_34,PERSONS_Year_9_or_equivalent_Age_25_34_years,G16A,G16,Age: 25-34 years|PERSONS,,,
G5810,P_Y9e_35_44,PERSONS_Year_9_or_equivalent_Age_35_44_years,G16A,G16,Age: 35-44 years|PERSONS,,,
G5811,P_Y9e_45_54,PERSONS_Year_9_or_equivalent_Age_45_54_years,G16A,G16,Age: 45-54 years|PERSONS,,,
G5812,P_Y9e_55_64,PERSONS_Year_9_or_equivalent_Age_55_64_years,G16A,G16,Age: 55-64 years|PERSONS,,,
G5813,P_Y9e_65_74,PERSONS_Year_9_or_equivalent_Age_65_74_years,G16A,G16,Age: 65-74 years|PERSONS,,,
G5814,P_Y9e_75_84,PERSONS_Year_9_or_equivalent_Age_75_84_years,G16A,G16,Age: 75-84 years|PERSONS,,,
G5815,P_Y9e_85ov,PERSONS_Year_9_or_equivalent_Age_85_years_and_over,G16A,G16,Age: 85 years and over|PERSONS,,,
G5816,P_Y9e_Tot,PERSONS_Year_9_or_equivalent_Total,G16A,G16,Total|PERSONS,,,
G5817,P_Y8b_15_19_yrs,PERSONS_Year_8_or_below_Age_15_19_years,G16B,G16,Age: 15-19 years|PERSONS,,,
G5818,P_Y8b_20_24_yrs,PERSONS_Year_8_or_below_Age_20_24_years,G16B,G16,Age: 20-24 years|PERSONS,,,
G5819,P_Y8b_25_34_yrs,PERSONS_Year_8_or_below_Age_25_34_years,G16B,G16,Age: 25-34 years|PERSONS,,,
G5820,P_Y8b_35_44_yrs,PERSONS_Year_8_or_below_Age_35_44_years,G16B,G16,Age: 35-44 years|PERSONS,,,
G5821,P_Y8b_45_54_yrs,PERSONS_Year_8_or_below_Age_45_54_years,G16B,G16,Age: 45-54 years|PERSONS,,,
G5822,P_Y8b_55_64_yrs,PERSONS_Year_8_or_below_Age_55_64_years,G16B,G16,Age: 55-64 years|PERSONS,,,
G5823,P_Y8b_65_74_yrs,PERSONS_Year_8_or_below_Age_65_74_years,G16B,G16,Age: 65-74 years|PERSONS,,,
G5824,P_Y8b_75_84_yrs,PERSONS_Year_8_or_below_Age_75_84_years,G16B,G16,Age: 75-84 years|PERSONS,,,
G5825,P_Y8b_85ov,PERSONS_Year_8_or_below_Age_85_years_and_over,G16B,G16,Age: 85 years and over|PERSONS,,,
G5826,P_Y8b_Tot,PERSONS_Year_8_or_below_Total,G16B,G16,Total|PERSONS,,,
G5827,P_DNGTS_15_19,PERSONS_Did_not_go_to_school_Age_15_19_years,G16B,G16,Age: 15-19 years|PERSONS,,,
G5828,P_DNGTS_20_24,PERSONS_Did_not_go_to_school_Age_20_24_years,G16B,G16,Age: 20-24 years|PERSONS,,,
G5829,P_DNGTS_25_34,PERSONS_Did_not_go_to_school_Age_25_34_years,G16B,G16,Age: 25-34 years|PERSONS,,,
G5830,P_DNGTS_35_44,PERSONS_Did_not_go_to_school_Age_35_44_years,G16B,G16,Age: 35-44 years|PERSONS,,,
G5831,P_DNGTS_45_54,PERSONS_Did_not_go_to_school_Age_45_54_years,G16B,G16,Age: 45-54 years|PERSONS,,,
G5832,P_DNGTS_55_64,PERSONS_Did_not_go_to_school_Age_55_64_years,G16B,G16,Age: 55-64 years|PERSONS,,,
G5833,P_DNGTS_65_74,PERSONS_Did_not_go_to_school_Age_65_74_years,G16B,G16,Age: 65-74 years|PERSONS,,,
G5834,P_DNGTS_75_84,PERSONS_Did_not_go_to_school_Age_75_84_years,G16B,G16,Age: 75-84 years|PERSONS,,,
G5835,P_DNGTS_85_ov,PERSONS_Did_not_go_to_school_Age_85_years_and_over,G16B,G16,Age: 85 years and over|PERSONS,,,
G5836,P_DNGTS_Tot,PERSONS_Did_not_go_to_school_Total,G16B,G16,Total|PERSONS,,,
G5837,P_Hghst_yr_schl_ns_15_19_yrs,PERSONS_Highest_year_of_school_not_stated_Age_15_19_years,G16B,G16,Age: 15-19 years|PERSONS,,,
G5838,P_Hghst_yr_schl_ns_20_24_yrs,PERSONS_Highest_year_of_school_not_stated_Age_20_24_years,G16B,G16,Age: 20-24 years|PERSONS,,,
G5839,P_Hghst_yr_schl_ns_25_34_yrs,PERSONS_Highest_year_of_school_not_stated_Age_25_34_years,G16B,G16,Age: 25-34 years|PERSONS,,,
G5840,P_Hghst_yr_schl_ns_35_44_yrs,PERSONS_Highest_year_of_school_not_stated_Age_35_44_years,G16B,G16,Age: 35-44 years|PERSONS,,,
G5841,P_Hghst_yr_schl_ns_45_54_yrs,PERSONS_Highest_year_of_school_not_stated_Age_45_54_years,G16B,G16,Age: 45-54 years|PERSONS,,,
G5842,P_Hghst_yr_schl_ns_55_64_yrs,PERSONS_Highest_year_of_school_not_stated_Age_55_64_years,G16B,G16,Age: 55-64 years|PERSONS,,,
G5843,P_Hghst_yr_schl_ns_65_74_yrs,PERSONS_Highest_year_of_school_not_stated_Age_65_74_years,G16B,G16,Age: 65-74 years|PERSONS,,,
G5844,P_Hghst_yr_schl_ns_75_84_yrs,PERSONS_Highest_year_of_school_not_stated_Age_75_84_years,G16B,G16,Age: 75-84 years|PERSONS,,,
G5845,P_Hghst_yr_schl_ns_85_yrs_ovr,PERSONS_Highest_year_of_school_not_stated_Age_85_years_and_over,G16B,G16,Age: 85 years and over|PERSONS,,,
G5846,P_Hghst_yr_schl_ns_Tot,PERSONS_Highest_year_of_school_not_stated_Total,G16B,G16,Total|PERSONS,,,
G5847,P_Tot_15_19_yrs,PERSONS_Total_Age_15_19_years,G16B,G16,Age: 15-19 years|PERSONS,,,
G5848,P_Tot_20_24_yrs,PERSONS_Total_Age_20_24_years,G16B,G16,Age: 20-24 years|PERSONS,,,
G5849,P_Tot_25_34_yrs,PERSONS_Total_Age_25_34_years,G16B,G16,Age: 25-34 years|PERSONS,,,
G5850,P_Tot_35_44_yrs,PERSONS_Total_Age_35_44_years,G16B,G16,Age: 35-44 years|PERSONS,,,
G5851,P_Tot_45_54_yrs,PERSONS_Total_Age_45_54_years,G16B,G16,Age: 45-54 years|PERSONS,,,
G5852,P_Tot_55_64_yrs,PERSONS_Total_Age_55_64_years,G16B,G16,Age: 55-64 years|PERSONS,,,
G5853,P_Tot_65_74_yrs,PERSONS_Total_Age_65_74_years,G16B,G16,Age: 65-74 years|PERSONS,,,
G5854,P_Tot_75_84_yrs,PERSONS_Total_Age_75_84_years,G16B,G16,Age: 75-84 years|PERSONS,,,
G5855,P_Tot_85ov,PERSONS_Total_Age_85_years_and_over,G16B,G16,Age: 85 years and over|PERSONS,,,
G5856,P_Tot_Tot,PERSONS_Total_Total,G16B,G16,Total|PERSONS,,,
G5857,M_Neg_Nil_income_15_19_yrs,MALES_Negative_Nil_income_Age_15_19_years,G17A,G17 ,Age: 15-19 years|MALES,,,
G5858,M_Neg_Nil_income_20_24_yrs,MALES_Negative_Nil_income_Age_20_24_years,G17A,G17 ,Age: 20-24 years|MALES,,,
G5859,M_Neg_Nil_income_25_34_yrs,MALES_Negative_Nil_income_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
G5860,M_Neg_Nil_income_35_44_yrs,MALES_Negative_Nil_income_Age_35_44_years,G17A,G17,Age: 35-44 years|MALES,,,
G5861,M_Neg_Nil_income_45_54_yrs,MALES_Negative_Nil_income_Age_45_54_years,G17A,G17,Age: 45-54 years|MALES,,,
G5862,M_Neg_Nil_income_55_64_yrs,MALES_Negative_Nil_income_Age_55_64_years,G17A,G17,Age: 55-64 years|MALES,,,
G5863,M_Neg_Nil_income_65_74_yrs,MALES_Negative_Nil_income_Age_65_74_years,G17A,G17,Age: 65-74 years|MALES,,,
G5864,M_Neg_Nil_income_75_84_yrs,MALES_Negative_Nil_income_Age_75_84_years,G17A,G17,Age: 75-84 years|MALES,,,
G5865,M_Negtve_Nil_incme_85_yrs_ovr,MALES_Negative_Nil_income_Age_85_years_and_over,G17A,G17,Age: 85 years and over|MALES,,,
G5866,M_Neg_Nil_income_Tot,MALES_Negative_Nil_income_Total,G17A,G17,Total|MALES,,,
G5867,M_1_149_15_19_yrs,MALES_1_149_Age_15_19_years,G17A,G17,Age: 15-19 years|MALES,,,
G5868,M_1_149_20_24_yrs,MALES_1_149_Age_20_24_years,G17A,G17,Age: 20-24 years|MALES,,,
G5869,M_1_149_25_34_yrs,MALES_1_149_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
G5870,M_1_149_35_44_yrs,MALES_1_149_Age_35_44_years,G17A,G17,Age: 35-44 years|MALES,,,
G5871,M_1_149_45_54_yrs,MALES_1_149_Age_45_54_years,G17A,G17,Age: 45-54 years|MALES,,,
G5872,M_1_149_55_64_yrs,MALES_1_149_Age_55_64_years,G17A,G17,Age: 55-64 years|MALES,,,
G5873,M_1_149_65_74_yrs,MALES_1_149_Age_65_74_years,G17A,G17,Age: 65-74 years|MALES,,,
G5874,M_1_149_75_84_yrs,MALES_1_149_Age_75_84_years,G17A,G17,Age: 75-84 years|MALES,,,
G5875,M_1_149_85ov,MALES_1_149_Age_85_years_and_over,G17A,G17,Age: 85 years and over|MALES,,,
G5876,M_1_149_Tot,MALES_1_149_Total,G17A,G17,Total|MALES,,,
G5877,M_150_299_15_19_yrs,MALES_150_299_Age_15_19_years,G17A,G17,Age: 15-19 years|MALES,,,
G5878,M_150_299_20_24_yrs,MALES_150_299_Age_20_24_years,G17A,G17,Age: 20-24 years|MALES,,,
G5879,M_150_299_25_34_yrs,MALES_150_299_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
G5880,M_150_299_35_44_yrs,MALES_150_299_Age_35_44_years,G17A,G17,Age: 35-44 years|MALES,,,
G5881,M_150_299_45_54_yrs,MALES_150_299_Age_45_54_years,G17A,G17,Age: 45-54 years|MALES,,,
G5882,M_150_299_55_64_yrs,MALES_150_299_Age_55_64_years,G17A,G17,Age: 55-64 years|MALES,,,
G5883,M_150_299_65_74_yrs,MALES_150_299_Age_65_74_years,G17A,G17,Age: 65-74 years|MALES,,,
G5884,M_150_299_75_84_yrs,MALES_150_299_Age_75_84_years,G17A,G17,Age: 75-84 years|MALES,,,
G5885,M_150_299_85ov,MALES_150_299_Age_85_years_and_over,G17A,G17,Age: 85 years and over|MALES,,,
G5886,M_150_299_Tot,MALES_150_299_Total,G17A,G17,Total|MALES,,,
G5887,M_300_399_15_19_yrs,MALES_300_399_Age_15_19_years,G17A,G17,Age: 15-19 years|MALES,,,
G5888,M_300_399_20_24_yrs,MALES_300_399_Age_20_24_years,G17A,G17,Age: 20-24 years|MALES,,,
G5889,M_300_399_25_34_yrs,MALES_300_399_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
G5890,M_300_399_35_44_yrs,MALES_300_399_Age_35_44_years,G17A,G17,Age: 35-44 years|MALES,,,
G5891,M_300_399_45_54_yrs,MALES_300_399_Age_45_54_years,G17A,G17,Age: 45-54 years|MALES,,,
G5892,M_300_399_55_64_yrs,MALES_300_399_Age_55_64_years,G17A,G17,Age: 55-64 years|MALES,,,
G5893,M_300_399_65_74_yrs,MALES_300_399_Age_65_74_years,G17A,G17,Age: 65-74 years|MALES,,,
G5894,M_300_399_75_84_yrs,MALES_300_399_Age_75_84_years,G17A,G17,Age: 75-84 years|MALES,,,
G5895,M_300_399_85ov,MALES_300_399_Age_85_years_and_over,G17A,G17,Age: 85 years and over|MALES,,,
G5896,M_300_399_Tot,MALES_300_399_Total,G17A,G17,Total|MALES,,,
G5897,M_400_499_15_19_yrs,MALES_400_499_Age_15_19_years,G17A,G17,Age: 15-19 years|MALES,,,
G5898,M_400_499_20_24_yrs,MALES_400_499_Age_20_24_years,G17A,G17,Age: 20-24 years|MALES,,,
G5899,M_400_499_25_34_yrs,MALES_400_499_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
G5900,M_400_499_35_44_yrs,MALES_400_499_Age_35_44_years,G17A,G17,Age: 35-44 years|MALES,,,
G5901,M_400_499_45_54_yrs,MALES_400_499_Age_45_54_years,G17A,G17,Age: 45-54 years|MALES,,,
G5902,M_400_499_55_64_yrs,MALES_400_499_Age_55_64_years,G17A,G17,Age: 55-64 years|MALES,,,
G5903,M_400_499_65_74_yrs,MALES_400_499_Age_65_74_years,G17A,G17,Age: 65-74 years|MALES,,,
G5904,M_400_499_75_84_yrs,MALES_400_499_Age_75_84_years,G17A,G17,Age: 75-84 years|MALES,,,
G5905,M_400_499_85ov,MALES_400_499_Age_85_years_and_over,G17A,G17,Age: 85 years and over|MALES,,,
G5906,M_400_499_Tot,MALES_400_499_Total,G17A,G17,Total|MALES,,,
G5907,M_500_649_15_19_yrs,MALES_500_649_Age_15_19_years,G17A,G17,Age: 15-19 years|MALES,,,
G5908,M_500_649_20_24_yrs,MALES_500_649_Age_20_24_years,G17A,G17,Age: 20-24 years|MALES,,,
G5909,M_500_649_25_34_yrs,MALES_500_649_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
G5910,M_500_649_35_44_yrs,MALES_500_649_Age_35_44_years,G17A,G17,Age: 35-44 years|MALES,,,
G5911,M_500_649_45_54_yrs,MALES_500_649_Age_45_54_years,G17A,G17,Age: 45-54 years|MALES,,,
G5912,M_500_649_55_64_yrs,MALES_500_649_Age_55_64_years,G17A,G17,Age: 55-64 years|MALES,,,
G5913,M_500_649_65_74_yrs,MALES_500_649_Age_65_74_years,G17A,G17,Age: 65-74 years|MALES,,,
G5914,M_500_649_75_84_yrs,MALES_500_649_Age_75_84_years,G17A,G17,Age: 75-84 years|MALES,,,
G5915,M_500_649_85ov,MALES_500_649_Age_85_years_and_over,G17A,G17,Age: 85 years and over|MALES,,,
G5916,M_500_649_Tot,MALES_500_649_Total,G17A,G17,Total|MALES,,,
G5917,M_650_799_15_19_yrs,MALES_650_799_Age_15_19_years,G17A,G17,Age: 15-19 years|MALES,,,
G5918,M_650_799_20_24_yrs,MALES_650_799_Age_20_24_years,G17A,G17,Age: 20-24 years|MALES,,,
G5919,M_650_799_25_34_yrs,MALES_650_799_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
G5920,M_650_799_35_44_yrs,MALES_650_799_Age_35_44_years,G17A,G17,Age: 35-44 years|MALES,,,
G5921,M_650_799_45_54_yrs,MALES_650_799_Age_45_54_years,G17A,G17,Age: 45-54 years|MALES,,,
G5922,M_650_799_55_64_yrs,MALES_650_799_Age_55_64_years,G17A,G17,Age: 55-64 years|MALES,,,
G5923,M_650_799_65_74_yrs,MALES_650_799_Age_65_74_years,G17A,G17,Age: 65-74 years|MALES,,,
G5924,M_650_799_75_84_yrs,MALES_650_799_Age_75_84_years,G17A,G17,Age: 75-84 years|MALES,,,
G5925,M_650_799_85ov,MALES_650_799_Age_85_years_and_over,G17A,G17,Age: 85 years and over|MALES,,,
G5926,M_650_799_Tot,MALES_650_799_Total,G17A,G17,Total|MALES,,,
G5927,M_800_999_15_19_yrs,MALES_800_999_Age_15_19_years,G17A,G17,Age: 15-19 years|MALES,,,
G5928,M_800_999_20_24_yrs,MALES_800_999_Age_20_24_years,G17A,G17,Age: 20-24 years|MALES,,,
G5929,M_800_999_25_34_yrs,MALES_800_999_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
G5930,M_800_999_35_44_yrs,MALES_800_999_Age_35_44_years,G17A,G17,Age: 35-44 years|MALES,,,
G5931,M_800_999_45_54_yrs,MALES_800_999_Age_45_54_years,G17A,G17,Age: 45-54 years|MALES,,,
G5932,M_800_999_55_64_yrs,MALES_800_999_Age_55_64_years,G17A,G17,Age: 55-64 years|MALES,,,
G5933,M_800_999_65_74_yrs,MALES_800_999_Age_65_74_years,G17A,G17,Age: 65-74 years|MALES,,,
G5934,M_800_999_75_84_yrs,MALES_800_999_Age_75_84_years,G17A,G17,Age: 75-84 years|MALES,,,
G5935,M_800_999_85ov,MALES_800_999_Age_85_years_and_over,G17A,G17,Age: 85 years and over|MALES,,,
G5936,M_800_999_Tot,MALES_800_999_Total,G17A,G17,Total|MALES,,,
G5937,M_1000_1249_15_19_yrs,MALES_1000_1249_Age_15_19_years,G17A,G17,Age: 15-19 years|MALES,,,
G5938,M_1000_1249_20_24_yrs,MALES_1000_1249_Age_20_24_years,G17A,G17,Age: 20-24 years|MALES,,,
G5939,M_1000_1249_25_34_yrs,MALES_1000_1249_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
G5940,M_1000_1249_35_44_yrs,MALES_1000_1249_Age_35_44_years,G17A,G17,Age: 35-44 years|MALES,,,
G5941,M_1000_1249_45_54_yrs,MALES_1000_1249_Age_45_54_years,G17A,G17,Age: 45-54 years|MALES,,,
G5942,M_1000_1249_55_64_yrs,MALES_1000_1249_Age_55_64_years,G17A,G17,Age: 55-64 years|MALES,,,
G5943,M_1000_1249_65_74_yrs,MALES_1000_1249_Age_65_74_years,G17A,G17,Age: 65-74 years|MALES,,,
G5944,M_1000_1249_75_84_yrs,MALES_1000_1249_Age_75_84_years,G17A,G17,Age: 75-84 years|MALES,,,
G5945,M_1000_1249_85ov,MALES_1000_1249_Age_85_years_and_over,G17A,G17,Age: 85 years and over|MALES,,,
G5946,M_1000_1249_Tot,MALES_1000_1249_Total,G17A,G17,Total|MALES,,,
G5947,M_1250_1499_15_19_yrs,MALES_1250_1499_Age_15_19_years,G17A,G17,Age: 15-19 years|MALES,,,
G5948,M_1250_1499_20_24_yrs,MALES_1250_1499_Age_20_24_years,G17A,G17,Age: 20-24 years|MALES,,,
G5949,M_1250_1499_25_34_yrs,MALES_1250_1499_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
G5950,M_1250_1499_35_44_yrs,MALES_1250_1499_Age_35_44_years,G17A,G17,Age: 35-44 years|MALES,,,
G5951,M_1250_1499_45_54_yrs,MALES_1250_1499_Age_45_54_years,G17A,G17,Age: 45-54 years|MALES,,,
G5952,M_1250_1499_55_64_yrs,MALES_1250_1499_Age_55_64_years,G17A,G17,Age: 55-64 years|MALES,,,
G5953,M_1250_1499_65_74_yrs,MALES_1250_1499_Age_65_74_years,G17A,G17,Age: 65-74 years|MALES,,,
G5954,M_1250_1499_75_84_yrs,MALES_1250_1499_Age_75_84_years,G17A,G17,Age: 75-84 years|MALES,,,
G5955,M_1250_1499_85ov,MALES_1250_1499_Age_85_years_and_over,G17A,G17,Age: 85 years and over|MALES,,,
G5956,M_1250_1499_Tot,MALES_1250_1499_Total,G17A,G17,Total|MALES,,,
G5957,M_1500_1749_15_19_yrs,MALES_1500_1749_Age_15_19_years,G17A,G17,Age: 15-19 years|MALES,,,
G5958,M_1500_1749_20_24_yrs,MALES_1500_1749_Age_20_24_years,G17A,G17,Age: 20-24 years|MALES,,,
G5959,M_1500_1749_25_34_yrs,MALES_1500_1749_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
G5960,M_1500_1749_35_44_yrs,MALES_1500_1749_Age_35_44_years,G17A,G17,Age: 35-44 years|MALES,,,
G5961,M_1500_1749_45_54_yrs,MALES_1500_1749_Age_45_54_years,G17A,G17,Age: 45-54 years|MALES,,,
G5962,M_1500_1749_55_64_yrs,MALES_1500_1749_Age_55_64_years,G17A,G17,Age: 55-64 years|MALES,,,
G5963,M_1500_1749_65_74_yrs,MALES_1500_1749_Age_65_74_years,G17A,G17,Age: 65-74 years|MALES,,,
G5964,M_1500_1749_75_84_yrs,MALES_1500_1749_Age_75_84_years,G17A,G17,Age: 75-84 years|MALES,,,
G5965,M_1500_1749_85ov,MALES_1500_1749_Age_85_years_and_over,G17A,G17,Age: 85 years and over|MALES,,,
G5966,M_1500_1749_Tot,MALES_1500_1749_Total,G17A,G17,Total|MALES,,,
G5967,M_1750_1999_15_19_yrs,MALES_1750_1999_Age_15_19_years,G17A,G17,Age: 15-19 years|MALES,,,
G5968,M_1750_1999_20_24_yrs,MALES_1750_1999_Age_20_24_years,G17A,G17,Age: 20-24 years|MALES,,,
G5969,M_1750_1999_25_34_yrs,MALES_1750_1999_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
G5970,M_1750_1999_35_44_yrs,MALES_1750_1999_Age_35_44_years,G17A,G17,Age: 35-44 years|MALES,,,
G5971,M_1750_1999_45_54_yrs,MALES_1750_1999_Age_45_54_years,G17A,G17,Age: 45-54 years|MALES,,,
G5972,M_1750_1999_55_64_yrs,MALES_1750_1999_Age_55_64_years,G17A,G17,Age: 55-64 years|MALES,,,
G5973,M_1750_1999_65_74_yrs,MALES_1750_1999_Age_65_74_years,G17A,G17,Age: 65-74 years|MALES,,,
G5974,M_1750_1999_75_84_yrs,MALES_1750_1999_Age_75_84_years,G17A,G17,Age: 75-84 years|MALES,,,
G5975,M_1750_1999_85ov,MALES_1750_1999_Age_85_years_and_over,G17A,G17,Age: 85 years and over|MALES,,,
G5976,M_1750_1999_Tot,MALES_1750_1999_Total,G17A,G17,Total|MALES,,,
G5977,M_2000_2999_15_19_yrs,MALES_2000_2999_Age_15_19_years,G17A,G17,Age: 15-19 years|MALES,,,
G5978,M_2000_2999_20_24_yrs,MALES_2000_2999_Age_20_24_years,G17A,G17,Age: 20-24 years|MALES,,,
G5979,M_2000_2999_25_34_yrs,MALES_2000_2999_Age_25_34_years,G17A,G17,Age: 25-34 years|MALES,,,
